"PDF","OUTCOME","COMMENTS","PAGE","LAYOUT","ARMS","ARMS_WITH_N","LINES","VARIABLES","CONTINUOUS","SKIPPED","SECONDS"
"Anaesthesia/2003/1.2.pdf","successfully parsed","Table page 17 (columns layout); 2 arm(s), 2 with N; 20 table lines -> 10 variables (0 continuous rows); 4 line(s) skipped as unusable; heuristic engine, 3.0 s",17,"columns",2,2,20,10,0,4,2.99
"Anaesthesia/2003/10.1.pdf","successfully parsed","Table page 8 (columns layout); 4 arm(s), 2 with N; 14 table lines -> 5 variables (3 continuous rows); 3 line(s) skipped as unusable; heuristic engine, 1.9 s",8,"columns",4,2,14,5,3,3,1.86
"Anaesthesia/2003/11.1.pdf","successfully parsed","Table page 12 (single layout); 5 arm(s), 2 with N; 26 table lines -> 14 variables (14 continuous rows); 3 line(s) skipped as unusable; heuristic engine, 1.6 s",12,"single",5,2,26,14,14,3,1.57
"Anaesthesia/2003/2.4.pdf","not successfully parsed","Failed at table-page identification: No usable baseline table could be parsed from C:/temp/journals/Anaesthesia/2003/2.4.pdf. Try the `pages` or `layout` argument, or ai = ""always"".",NA,NA,NA,NA,0,0,0,NA,0.79
"Anaesthesia/2003/2.5.pdf","successfully parsed","Table page 18 (columns layout); 2 arm(s), 2 with N; 6 table lines -> 3 variables (2 continuous rows); 1 line(s) skipped as unusable; heuristic engine, 2.1 s",18,"columns",2,2,6,3,2,1,2.07
"Anaesthesia/2003/3.2.pdf","successfully parsed","Table page 8 (single layout); 3 arm(s), 1 with N; 6 table lines -> 3 variables (0 continuous rows); 9 line(s) skipped as unusable; heuristic engine, 2.0 s",8,"single",3,1,6,3,0,9,1.98
"Anaesthesia/2003/4.1.pdf","successfully parsed","Table page 6 (single layout); 5 arm(s), 0 with N; 21 table lines -> 20 variables (20 continuous rows); 4 line(s) skipped as unusable; heuristic engine, 2.7 s",6,"single",5,0,21,20,20,4,2.69
"Anaesthesia/2003/5.3.pdf","successfully parsed","Table page 2 (columns layout); 3 arm(s), 0 with N; 16 table lines -> 16 variables (16 continuous rows); 2 line(s) skipped as unusable; heuristic engine, 1.5 s",2,"columns",3,0,16,16,16,2,1.5
"Anaesthesia/2003/7.2.pdf","successfully parsed","Table page 25 (single layout); 8 arm(s), 0 with N; 7 table lines -> 1 variables (0 continuous rows); 2 line(s) skipped as unusable; heuristic engine, 2.9 s",25,"single",8,0,7,1,0,2,2.86
"Anaesthesia/2003/8.1.pdf","not successfully parsed","Failed at table-page identification: No usable baseline table could be parsed from C:/temp/journals/Anaesthesia/2003/8.1.pdf. Try the `pages` or `layout` argument, or ai = ""always"".",NA,NA,NA,NA,0,0,0,NA,0.82
